Customer_ID,Product_ID,Transaction_ID,Purchase_Frequency,Average_Order_Value,Most_Frequent_Category,Time_Between_Purchases,Region,Churn_Probability,Lifetime_Value,Launch_Date,Peak_Sales_Date,Season,Preferred_Purchase_Times,Retention_Strategy,Lifetime_Value_Capped,Launch_Year,Launch_Month,Launch_Day,Launch_Day_of_Week,Peak_Sales_Year,Peak_Sales_Month,Peak_Sales_Day,Peak_Sales_Day_of_Week,Customer_Segment,Total_Estimated_Spend,Value_Per_Purchase_Frequency
CUST_67Z31H,PROD_ALVKE7,TRANS_IH0DSW,8,138.72,Electronics,88,Europe,0.45,2758.76,2020-03-22,2023-08-05,Fall,Morning,Loyalty Program,2758.76,2020,3,22,Sunday,2023,8,5,Saturday,Medium Value,1109.76,344.84
CUST_FX276G,PROD_K192VJ,TRANS_HEH3CY,13,54.53,Electronics,53,Asia,0.73,9395.6,2021-07-29,2023-12-26,Fall,Morning,Email Campaign,9395.6,2021,7,29,Thursday,2023,12,26,Tuesday,Very High Value,708.89,722.74
CUST_H605W3,PROD_2Y2RID,TRANS_6G3IVM,5,172.68,Electronics,23,Europe,0.86,6589.81,2021-08-05,2023-04-11,Spring,Afternoon,Email Campaign,6589.81,2021,8,5,Thursday,2023,4,11,Tuesday,High Value,863.4,1317.96
CUST_7KEA4I,PROD_M35YA3,TRANS_QHURYI,18,30.56,Clothing,83,North America,0.55,1005.72,2021-05-15,2023-11-28,Summer,Morning,Loyalty Program,1005.72,2021,5,15,Saturday,2023,11,28,Tuesday,Low Value,550.08,55.87
CUST_7I11M9,PROD_ELE4RZ,TRANS_W2RL1O,18,95.85,Electronics,13,Asia,0.34,6299.37,2020-08-05,2023-08-06,Spring,Morning,Discount,6299.37,2020,8,5,Wednesday,2023,8,6,Sunday,High Value,1725.3,349.96
CUST_WQB3QG,PROD_IBLABI,TRANS_Y8I3QE,10,108.6,Home,7,Europe,0.89,7317.6,2021-02-13,2023-10-25,Summer,Morning,Loyalty Program,7317.6,2021,2,13,Saturday,2023,10,25,Wednesday,High Value,1086.0,731.76
CUST_EF8557,PROD_P2DMGE,TRANS_29D2I2,10,139.31,Sports,78,Asia,0.78,6578.3,2022-02-05,2023-11-29,Winter,Evening,Email Campaign,6578.3,2022,2,5,Saturday,2023,11,29,Wednesday,High Value,1393.1,657.83
CUST_792ZPI,PROD_JLOC27,TRANS_X42QD9,3,141.64,Home,24,North America,0.2,5902.92,2020-06-04,2023-04-15,Spring,Evening,Email Campaign,5902.92,2020,6,4,Thursday,2023,4,15,Saturday,High Value,424.92,1967.64
CUST_CNYAZK,PROD_2EQ5LO,TRANS_T73AG3,18,39.17,Clothing,63,North America,0.69,5264.38,2022-01-09,2023-10-15,Fall,Evening,Loyalty Program,5264.38,2022,1,9,Sunday,2023,10,15,Sunday,High Value,705.06,292.47
CUST_45L1B8,PROD_XFBU9X,TRANS_S38KSO,18,139.37,Sports,69,South America,0.42,9127.85,2022-03-30,2023-07-08,Winter,Evening,Loyalty Program,9127.85,2022,3,30,Wednesday,2023,7,8,Saturday,Very High Value,2508.66,507.1
CUST_99ZA53,PROD_2E3MNX,TRANS_O6PCG7,17,105.73,Sports,36,North America,0.66,194.59,2020-04-27,2023-03-16,Spring,Afternoon,Email Campaign,194.59,2020,4,27,Monday,2023,3,16,Thursday,Low Value,1797.41,11.45
CUST_NWGN1Z,PROD_R1Y19O,TRANS_38FJVY,14,93.03,Sports,53,North America,0.78,3845.95,2021-03-12,2023-05-23,Summer,Evening,Email Campaign,3845.95,2021,3,12,Friday,2023,5,23,Tuesday,Medium Value,1302.42,274.71
CUST_EA95KF,PROD_R6QGPV,TRANS_XB0SUN,16,166.36,Home,83,Asia,0.88,5125.94,2021-03-05,2023-02-07,Winter,Morning,Email Campaign,5125.94,2021,3,5,Friday,2023,2,7,Tuesday,High Value,2661.76,320.37
CUST_5RUZ9U,PROD_KCO2XQ,TRANS_N2ZWKU,11,106.34,Home,41,North America,0.17,627.2,2020-03-20,2023-11-04,Winter,Evening,Loyalty Program,627.2,2020,3,20,Friday,2023,11,4,Saturday,Low Value,1169.74,57.02
CUST_T95LCL,PROD_V9G363,TRANS_19AA2Z,19,58.13,Home,39,Europe,0.83,1794.11,2020-04-11,2023-09-27,Summer,Evening,Discount,1794.11,2020,4,11,Saturday,2023,9,27,Wednesday,Low Value,1104.47,94.43
CUST_MD1TF0,PROD_VWJAW6,TRANS_5QZIZO,9,100.65,Electronics,29,North America,0.82,9709.29,2021-07-11,2023-08-03,Fall,Evening,Email Campaign,9709.29,2021,7,11,Sunday,2023,8,3,Thursday,Very High Value,905.85,1078.81
CUST_2H3FIT,PROD_LLJO26,TRANS_BN90ZR,11,138.91,Electronics,36,South America,0.45,1699.1,2022-10-31,2023-04-20,Fall,Evening,Email Campaign,1699.1,2022,10,31,Monday,2023,4,20,Thursday,Low Value,1528.01,154.46
CUST_ASIAQN,PROD_A0GGZN,TRANS_XZMA7R,4,179.37,Home,12,Europe,0.28,3526.92,2021-11-16,2023-04-19,Summer,Evening,Discount,3526.92,2021,11,16,Tuesday,2023,4,19,Wednesday,Medium Value,717.48,881.73
CUST_5VD1AF,PROD_9FP1KM,TRANS_2REXOG,18,47.25,Clothing,54,Europe,0.55,3666.4,2020-11-03,2023-06-07,Fall,Afternoon,Email Campaign,3666.4,2020,11,3,Tuesday,2023,6,7,Wednesday,Medium Value,850.5,203.69
CUST_5C973R,PROD_DNB9HU,TRANS_4IYIU0,7,165.36,Home,12,Asia,0.76,2028.94,2022-09-30,2023-09-24,Winter,Evening,Discount,2028.94,2022,9,30,Friday,2023,9,24,Sunday,Low Value,1157.52,289.85
CUST_G8HU0Y,PROD_67CKAZ,TRANS_21LPF7,13,169.44,Electronics,31,South America,0.36,4558.4,2022-11-01,2023-01-29,Spring,Evening,Loyalty Program,4558.4,2022,11,1,Tuesday,2023,1,29,Sunday,Medium Value,2202.72,350.65
CUST_2KHJ4Y,PROD_0VHFS7,TRANS_9AIGGW,1,138.29,Electronics,66,Asia,0.27,2053.08,2020-09-30,2023-05-18,Summer,Afternoon,Email Campaign,2053.08,2020,9,30,Wednesday,2023,5,18,Thursday,Low Value,138.29,2053.08
CUST_OL6Z6A,PROD_SMVS94,TRANS_7Y5D04,12,101.33,Sports,87,North America,0.95,3860.4,2022-06-09,2023-04-14,Summer,Afternoon,Discount,3860.4,2022,6,9,Thursday,2023,4,14,Friday,Medium Value,1215.96,321.7
CUST_80XT8K,PROD_85FXS1,TRANS_CF2UIG,2,51.68,Clothing,37,South America,0.27,7406.47,2022-03-26,2023-03-14,Winter,Evening,Discount,7406.47,2022,3,26,Saturday,2023,3,14,Tuesday,High Value,103.36,3703.24
CUST_MSNQX0,PROD_SFPDI5,TRANS_I69T9V,14,48.23,Home,69,South America,0.46,933.63,2020-12-12,2023-01-22,Winter,Evening,Email Campaign,933.63,2020,12,12,Saturday,2023,1,22,Sunday,Low Value,675.22,66.69
CUST_4XM4T8,PROD_AYJHII,TRANS_QODMWY,19,58.92,Sports,50,South America,0.97,6527.21,2021-03-24,2023-11-07,Fall,Evening,Discount,6527.21,2021,3,24,Wednesday,2023,11,7,Tuesday,High Value,1119.48,343.54
CUST_NMIM67,PROD_QRJOQQ,TRANS_X1J6WF,5,37.72,Sports,79,Asia,0.16,9937.12,2022-08-14,2023-10-12,Winter,Afternoon,Loyalty Program,9937.12,2022,8,14,Sunday,2023,10,12,Thursday,Very High Value,188.6,1987.42
CUST_G3CBW1,PROD_4XTTVE,TRANS_XROLFW,2,61.25,Electronics,10,North America,0.98,3585.45,2021-03-01,2023-08-25,Fall,Afternoon,Email Campaign,3585.45,2021,3,1,Monday,2023,8,25,Friday,Medium Value,122.5,1792.72
CUST_LMWRL7,PROD_JSTXXZ,TRANS_6QAZQ4,9,46.48,Clothing,39,North America,0.59,6308.82,2021-11-09,2023-11-24,Fall,Evening,Discount,6308.82,2021,11,9,Tuesday,2023,11,24,Friday,High Value,418.32,700.98
CUST_BP1CZW,PROD_38AOV5,TRANS_YH9TT9,19,23.99,Sports,17,South America,0.93,4860.19,2020-08-23,2023-05-22,Summer,Afternoon,Discount,4860.19,2020,8,23,Sunday,2023,5,22,Monday,Medium Value,455.81,255.8
CUST_V6TG3I,PROD_IS1C0S,TRANS_XHU7MO,4,182.98,Clothing,59,Europe,0.94,4384.96,2020-11-10,2023-01-02,Fall,Evening,Email Campaign,4384.96,2020,11,10,Tuesday,2023,1,2,Monday,Medium Value,731.92,1096.24
CUST_PBDQSR,PROD_0SQDEQ,TRANS_21805X,5,99.78,Home,52,North America,0.44,3917.09,2020-10-29,2023-06-18,Winter,Evening,Email Campaign,3917.09,2020,10,29,Thursday,2023,6,18,Sunday,Medium Value,498.9,783.42
CUST_4D8TQ7,PROD_9Y47SE,TRANS_URXRPO,2,144.04,Electronics,78,Europe,0.11,6457.94,2021-03-20,2023-01-28,Summer,Evening,Email Campaign,6457.94,2021,3,20,Saturday,2023,1,28,Saturday,High Value,288.08,3228.97
CUST_PE88A7,PROD_IGQ04T,TRANS_4GHR21,16,147.99,Home,28,Asia,0.54,9793.48,2022-04-10,2023-01-15,Fall,Afternoon,Email Campaign,9793.48,2022,4,10,Sunday,2023,1,15,Sunday,Very High Value,2367.84,612.09
CUST_FQDNFA,PROD_RA21TR,TRANS_XZ3ATJ,6,43.79,Electronics,48,North America,0.78,2071.72,2021-07-08,2023-09-07,Winter,Afternoon,Loyalty Program,2071.72,2021,7,8,Thursday,2023,9,7,Thursday,Low Value,262.74,345.29
CUST_5LNW0H,PROD_KK674F,TRANS_6Z1WNL,9,140.74,Electronics,33,Europe,0.97,4032.5,2020-12-07,2023-09-11,Summer,Afternoon,Email Campaign,4032.5,2020,12,7,Monday,2023,9,11,Monday,Medium Value,1266.66,448.06
CUST_5YEMJD,PROD_BQZPQW,TRANS_QFA4GW,10,168.79,Sports,71,Asia,0.6,4170.08,2022-03-29,2023-07-20,Summer,Evening,Loyalty Program,4170.08,2022,3,29,Tuesday,2023,7,20,Thursday,Medium Value,1687.9,417.01
CUST_QU7QVL,PROD_LMZ8FO,TRANS_RKYSMN,4,180.07,Clothing,38,Europe,0.28,5093.39,2021-07-13,2023-10-05,Spring,Afternoon,Discount,5093.39,2021,7,13,Tuesday,2023,10,5,Thursday,High Value,720.28,1273.35
CUST_29DO3Z,PROD_G9QAZF,TRANS_RRYEW5,3,151.9,Home,33,Europe,0.24,1686.06,2022-08-08,2023-10-15,Winter,Afternoon,Discount,1686.06,2022,8,8,Monday,2023,10,15,Sunday,Low Value,455.7,562.02
CUST_L6Y0LJ,PROD_QSBLCY,TRANS_5LGI9O,13,54.2,Clothing,69,North America,0.26,8156.23,2022-07-20,2023-10-03,Summer,Evening,Email Campaign,8156.23,2022,7,20,Wednesday,2023,10,3,Tuesday,Very High Value,704.6,627.4
CUST_3CJ2R1,PROD_NV7ANP,TRANS_Z85T6R,4,70.04,Sports,33,Asia,0.18,4456.32,2022-02-04,2023-07-25,Fall,Afternoon,Loyalty Program,4456.32,2022,2,4,Friday,2023,7,25,Tuesday,Medium Value,280.16,1114.08
CUST_TWR7Q9,PROD_MKX3U2,TRANS_XWNAU4,11,79.79,Electronics,24,South America,0.92,3278.04,2021-04-26,2023-11-07,Spring,Morning,Loyalty Program,3278.04,2021,4,26,Monday,2023,11,7,Tuesday,Medium Value,877.69,298.0
CUST_BT8F7N,PROD_VP1C85,TRANS_BN4GLI,7,141.62,Home,34,Asia,0.24,8513.1,2021-08-27,2023-06-16,Summer,Evening,Discount,8513.1,2021,8,27,Friday,2023,6,16,Friday,Very High Value,991.34,1216.16
CUST_44WU3H,PROD_DLW1HT,TRANS_OZSTC6,17,25.67,Electronics,25,North America,0.99,9777.23,2021-03-01,2023-06-03,Summer,Morning,Email Campaign,9777.23,2021,3,1,Monday,2023,6,3,Saturday,Very High Value,436.39,575.13
CUST_9CCEOL,PROD_V7YPR0,TRANS_3C9IZ7,8,121.15,Home,73,North America,0.04,7429.9,2021-12-01,2023-01-18,Fall,Evening,Loyalty Program,7429.9,2021,12,1,Wednesday,2023,1,18,Wednesday,High Value,969.2,928.74
CUST_5CMJNC,PROD_REQDDN,TRANS_E7YDDY,5,159.29,Clothing,23,North America,1.0,9884.14,2020-03-12,2023-01-31,Winter,Morning,Loyalty Program,9884.14,2020,3,12,Thursday,2023,1,31,Tuesday,Very High Value,796.45,1976.83
CUST_RIOS1B,PROD_7M7FN6,TRANS_P8HBGJ,7,143.17,Electronics,71,North America,0.75,9939.87,2021-09-29,2023-10-04,Spring,Evening,Discount,9939.87,2021,9,29,Wednesday,2023,10,4,Wednesday,Very High Value,1002.19,1419.98
CUST_UHM0W0,PROD_I8BK7H,TRANS_DRQVRX,18,112.91,Sports,10,South America,0.3,481.09,2020-03-12,2023-10-28,Winter,Afternoon,Loyalty Program,481.09,2020,3,12,Thursday,2023,10,28,Saturday,Low Value,2032.38,26.73
CUST_XYCV8A,PROD_GEO4BY,TRANS_OHOMTE,2,87.07,Sports,61,Europe,0.25,4389.88,2020-01-16,2023-03-16,Winter,Afternoon,Loyalty Program,4389.88,2020,1,16,Thursday,2023,3,16,Thursday,Medium Value,174.14,2194.94
CUST_1XBJ9U,PROD_ZDFDHP,TRANS_7QZT0M,16,90.59,Electronics,6,South America,0.45,6536.15,2022-08-10,2023-04-13,Spring,Morning,Email Campaign,6536.15,2022,8,10,Wednesday,2023,4,13,Thursday,High Value,1449.44,408.51
CUST_SG4B8W,PROD_HGV6XV,TRANS_KR47ZL,16,155.46,Electronics,71,Asia,0.28,514.55,2022-03-10,2023-09-23,Fall,Afternoon,Loyalty Program,514.55,2022,3,10,Thursday,2023,9,23,Saturday,Low Value,2487.36,32.16
CUST_YNB5QL,PROD_QKQZCD,TRANS_GNTBSC,1,29.43,Clothing,72,North America,0.37,6446.33,2022-08-28,2023-09-11,Fall,Afternoon,Loyalty Program,6446.33,2022,8,28,Sunday,2023,9,11,Monday,High Value,29.43,6446.33
CUST_UL763Z,PROD_APLSZ5,TRANS_J4I69W,11,187.02,Home,47,North America,0.36,3209.14,2020-12-20,2023-08-17,Winter,Morning,Discount,3209.14,2020,12,20,Sunday,2023,8,17,Thursday,Medium Value,2057.22,291.74
CUST_PLP8HF,PROD_06OMWE,TRANS_V5XD0N,8,193.61,Clothing,31,North America,0.09,4250.12,2022-05-29,2023-08-19,Summer,Evening,Discount,4250.12,2022,5,29,Sunday,2023,8,19,Saturday,Medium Value,1548.88,531.26
CUST_RB6RRC,PROD_FZPBJ0,TRANS_SUV302,1,165.46,Clothing,75,North America,0.49,3399.96,2021-03-30,2023-01-08,Summer,Morning,Discount,3399.96,2021,3,30,Tuesday,2023,1,8,Sunday,Medium Value,165.46,3399.96
CUST_E8RVBQ,PROD_Q33F7S,TRANS_KWSVZ1,5,141.7,Clothing,27,North America,0.54,4979.03,2022-08-02,2023-11-06,Winter,Evening,Email Campaign,4979.03,2022,8,2,Tuesday,2023,11,6,Monday,Medium Value,708.5,995.81
CUST_BY0GMM,PROD_W0BL0N,TRANS_ZHY8NX,9,76.18,Clothing,88,Asia,0.92,6700.23,2021-09-08,2023-08-07,Summer,Evening,Email Campaign,6700.23,2021,9,8,Wednesday,2023,8,7,Monday,High Value,685.62,744.47
CUST_A2HM1J,PROD_LPYYDT,TRANS_YRXSEE,11,105.41,Clothing,19,Europe,0.35,8484.97,2021-02-21,2023-10-07,Fall,Morning,Discount,8484.97,2021,2,21,Sunday,2023,10,7,Saturday,Very High Value,1159.51,771.36
CUST_8G18L2,PROD_AYH2IY,TRANS_OO6E0E,12,195.98,Clothing,70,North America,0.94,2131.19,2020-01-23,2023-05-16,Spring,Afternoon,Discount,2131.19,2020,1,23,Thursday,2023,5,16,Tuesday,Low Value,2351.76,177.6
CUST_G141RX,PROD_57UL5X,TRANS_RL8R7X,13,40.69,Electronics,19,Asia,0.82,5732.6,2022-04-13,2023-02-26,Summer,Afternoon,Email Campaign,5732.6,2022,4,13,Wednesday,2023,2,26,Sunday,High Value,528.97,440.97
CUST_VZC5ZH,PROD_7PA2MO,TRANS_3CFDED,8,168.99,Electronics,75,Europe,0.04,4436.29,2020-05-15,2023-12-22,Winter,Morning,Discount,4436.29,2020,5,15,Friday,2023,12,22,Friday,Medium Value,1351.92,554.54
CUST_FSDTLK,PROD_B4YT9N,TRANS_YS9IFG,7,52.13,Electronics,40,North America,0.08,549.09,2021-04-22,2023-04-14,Winter,Evening,Discount,549.09,2021,4,22,Thursday,2023,4,14,Friday,Low Value,364.91,78.44
CUST_JPDA4D,PROD_C2Y1TF,TRANS_I949BV,12,121.6,Electronics,30,South America,0.76,3714.99,2021-06-21,2023-02-14,Fall,Afternoon,Loyalty Program,3714.99,2021,6,21,Monday,2023,2,14,Tuesday,Medium Value,1459.2,309.58
CUST_H4OVTS,PROD_VCTO6F,TRANS_35JLNS,17,39.01,Sports,74,Europe,0.13,7543.91,2020-09-10,2023-03-17,Winter,Afternoon,Discount,7543.91,2020,9,10,Thursday,2023,3,17,Friday,Very High Value,663.17,443.76
CUST_Q19TO6,PROD_2WKC14,TRANS_TFY65O,13,161.93,Clothing,80,South America,0.23,6924.0,2022-07-18,2023-11-02,Summer,Evening,Email Campaign,6924.0,2022,7,18,Monday,2023,11,2,Thursday,High Value,2105.09,532.62
CUST_QH5U2G,PROD_XISEVK,TRANS_BI87V2,10,69.27,Home,48,Asia,0.12,955.14,2022-11-03,2023-08-25,Summer,Morning,Email Campaign,955.14,2022,11,3,Thursday,2023,8,25,Friday,Low Value,692.7,95.51
CUST_REKKSM,PROD_60BHU4,TRANS_7EEQ6S,5,78.06,Clothing,39,Asia,0.8,5970.92,2021-02-18,2023-12-07,Fall,Evening,Discount,5970.92,2021,2,18,Thursday,2023,12,7,Thursday,High Value,390.3,1194.18
CUST_12P5SP,PROD_9HDA2G,TRANS_HVCWAE,4,37.09,Sports,76,Europe,0.05,6353.19,2022-08-04,2023-03-06,Spring,Afternoon,Discount,6353.19,2022,8,4,Thursday,2023,3,6,Monday,High Value,148.36,1588.3
CUST_934TJ6,PROD_ZNVVA4,TRANS_Y85IB3,10,105.61,Clothing,57,Asia,0.37,6435.21,2020-12-27,2023-11-13,Winter,Afternoon,Loyalty Program,6435.21,2020,12,27,Sunday,2023,11,13,Monday,High Value,1056.1,643.52
CUST_FJPJ16,PROD_LIHMIO,TRANS_1B9BW3,13,65.97,Clothing,22,Asia,0.08,3889.56,2022-09-22,2023-04-16,Winter,Morning,Discount,3889.56,2022,9,22,Thursday,2023,4,16,Sunday,Medium Value,857.61,299.2
CUST_4LYGW1,PROD_CHEZ3Y,TRANS_BVJ93X,10,44.92,Electronics,71,North America,0.15,6286.12,2022-10-02,2023-12-19,Spring,Morning,Loyalty Program,6286.12,2022,10,2,Sunday,2023,12,19,Tuesday,High Value,449.2,628.61
CUST_SASUTZ,PROD_KDYCI7,TRANS_8M3BGP,13,175.81,Clothing,60,Europe,0.25,2173.1,2022-04-13,2023-12-06,Summer,Morning,Email Campaign,2173.1,2022,4,13,Wednesday,2023,12,6,Wednesday,Low Value,2285.53,167.16
CUST_1F6ITR,PROD_6JC3IE,TRANS_9N8RPV,4,48.07,Home,74,North America,0.94,182.6,2021-05-22,2023-04-07,Spring,Morning,Loyalty Program,182.6,2021,5,22,Saturday,2023,4,7,Friday,Low Value,192.28,45.65
CUST_A8JHLW,PROD_W15OP6,TRANS_2RANWV,8,82.69,Clothing,67,Asia,0.28,7565.07,2022-05-17,2023-12-27,Summer,Morning,Loyalty Program,7565.07,2022,5,17,Tuesday,2023,12,27,Wednesday,Very High Value,661.52,945.63
CUST_W8IZWM,PROD_JV3HSP,TRANS_VR2LMK,1,156.04,Electronics,45,North America,0.53,9792.55,2020-08-04,2023-12-02,Fall,Afternoon,Loyalty Program,9792.55,2020,8,4,Tuesday,2023,12,2,Saturday,Very High Value,156.04,9792.55
CUST_6P1OQQ,PROD_VE9FAM,TRANS_DIIJRJ,8,46.0,Clothing,79,Asia,0.43,2945.99,2020-07-10,2023-06-23,Fall,Morning,Loyalty Program,2945.99,2020,7,10,Friday,2023,6,23,Friday,Medium Value,368.0,368.25
CUST_A6XFY9,PROD_FOM3QG,TRANS_T1L4M8,1,186.54,Sports,72,South America,0.22,5576.28,2021-03-21,2023-01-25,Summer,Morning,Discount,5576.28,2021,3,21,Sunday,2023,1,25,Wednesday,High Value,186.54,5576.28
CUST_MW3LV2,PROD_BRGWOE,TRANS_JG2Z1Q,14,157.37,Sports,36,Asia,0.37,726.95,2020-10-19,2023-04-16,Summer,Evening,Email Campaign,726.95,2020,10,19,Monday,2023,4,16,Sunday,Low Value,2203.18,51.92
CUST_A9PHFE,PROD_W78Y00,TRANS_KX7QRM,16,175.7,Clothing,81,Asia,0.76,3128.79,2022-11-07,2023-06-03,Winter,Evening,Email Campaign,3128.79,2022,11,7,Monday,2023,6,3,Saturday,Medium Value,2811.2,195.55
CUST_HOB0YK,PROD_OE7XRF,TRANS_JE2056,10,138.67,Sports,42,Europe,0.74,8802.47,2022-01-11,2023-09-30,Fall,Morning,Loyalty Program,8802.47,2022,1,11,Tuesday,2023,9,30,Saturday,Very High Value,1386.7,880.25
CUST_BRRRRU,PROD_VK226H,TRANS_JJBKYL,3,172.19,Electronics,51,North America,0.24,843.02,2022-10-07,2023-08-02,Summer,Evening,Loyalty Program,843.02,2022,10,7,Friday,2023,8,2,Wednesday,Low Value,516.57,281.01
CUST_DA0I76,PROD_FXKWAD,TRANS_OS9M5E,8,30.95,Home,60,Asia,0.25,7759.72,2021-08-11,2023-09-24,Fall,Evening,Loyalty Program,7759.72,2021,8,11,Wednesday,2023,9,24,Sunday,Very High Value,247.6,969.96
CUST_7GAVM9,PROD_PUWL9C,TRANS_1N44GP,11,69.05,Home,74,North America,0.04,3421.3,2020-01-04,2023-06-30,Summer,Morning,Loyalty Program,3421.3,2020,1,4,Saturday,2023,6,30,Friday,Medium Value,759.55,311.03
CUST_Z6QSTD,PROD_ZKTGY4,TRANS_MPRMR4,5,32.18,Sports,61,North America,0.23,2682.46,2022-12-24,2023-02-08,Spring,Afternoon,Loyalty Program,2682.46,2022,12,24,Saturday,2023,2,8,Wednesday,Medium Value,160.9,536.49
CUST_HXOYK8,PROD_0HPPRU,TRANS_L6C5IH,7,35.98,Home,6,South America,0.08,3408.85,2021-08-11,2023-11-27,Summer,Afternoon,Email Campaign,3408.85,2021,8,11,Wednesday,2023,11,27,Monday,Medium Value,251.86,486.98
CUST_VLBL5K,PROD_JQKMA9,TRANS_B1AGUQ,10,97.5,Sports,63,South America,0.39,6008.65,2022-11-03,2023-07-08,Winter,Morning,Loyalty Program,6008.65,2022,11,3,Thursday,2023,7,8,Saturday,High Value,975.0,600.86
CUST_5T9TN8,PROD_J0NICY,TRANS_UR3NI6,1,120.55,Electronics,25,Europe,0.86,4170.5,2020-01-01,2023-09-13,Fall,Afternoon,Discount,4170.5,2020,1,1,Wednesday,2023,9,13,Wednesday,Medium Value,120.55,4170.5
CUST_2WBGJJ,PROD_5RE3HX,TRANS_DHYRAM,19,103.19,Clothing,53,South America,0.12,666.12,2022-07-04,2023-10-15,Spring,Evening,Discount,666.12,2022,7,4,Monday,2023,10,15,Sunday,Low Value,1960.61,35.06
CUST_I40LLF,PROD_J7IA73,TRANS_O0F7IU,11,61.74,Clothing,24,North America,0.49,1517.8,2020-06-28,2023-11-18,Spring,Evening,Discount,1517.8,2020,6,28,Sunday,2023,11,18,Saturday,Low Value,679.14,137.98
CUST_7USGEB,PROD_KYQOGN,TRANS_8PY3IV,10,128.51,Clothing,19,South America,0.1,977.86,2021-06-10,2023-03-09,Fall,Evening,Email Campaign,977.86,2021,6,10,Thursday,2023,3,9,Thursday,Low Value,1285.1,97.79
CUST_ZYJ13O,PROD_ULSC9X,TRANS_PIZN0P,8,72.7,Home,83,South America,0.86,7231.13,2020-03-19,2023-03-16,Winter,Afternoon,Discount,7231.13,2020,3,19,Thursday,2023,3,16,Thursday,High Value,581.6,903.89
CUST_ZIMOOB,PROD_50ZMSE,TRANS_XDO4Y2,13,199.76,Home,60,South America,0.24,1666.64,2022-06-05,2023-10-22,Fall,Morning,Loyalty Program,1666.64,2022,6,5,Sunday,2023,10,22,Sunday,Low Value,2596.88,128.2
CUST_BQQQVX,PROD_91W0VF,TRANS_3NDXUA,2,122.65,Clothing,55,Asia,0.38,567.28,2020-08-31,2023-06-25,Fall,Afternoon,Loyalty Program,567.28,2020,8,31,Monday,2023,6,25,Sunday,Low Value,245.3,283.64
